method,generation,evaluations,best_so_far_mean,best_so_far_sd,unique_fraction_mean,unique_fraction_sd,mean_modules_mean,mean_modules_sd
random,42,2150,14.400100344275092,0.30241177884853526,0.976,0.026076809620810618,10.704,0.8344339398658233
random,43,2200,14.400100344275092,0.30241177884853526,0.976,0.03286335345030995,10.912,1.077459976054795
random,44,2250,14.400100344275092,0.30241177884853526,0.976,0.021908902300206663,10.712,0.4439819816163714
random,45,2300,14.400100344275092,0.30241177884853526,0.976,0.03286335345030995,10.9,0.46583258795408466
random,46,2350,14.400100344275092,0.30241177884853526,0.976,0.026076809620810618,10.564,0.7503865670439472
random,47,2400,14.400100344275092,0.30241177884853526,0.968,0.017888543819998333,10.576,0.8047856857573946
random,48,2450,14.400100344275092,0.30241177884853526,0.956,0.03286335345030997,10.66,0.6074537019394979
random,49,2500,14.400100344275092,0.30241177884853526,0.952,0.036331804249169895,10.82,1.4306641814206438
random,50,2550,14.400100344275092,0.30241177884853526,0.972,0.0268328157299975,10.488,1.002456981620658
random,51,2600,14.400100344275092,0.30241177884853526,0.976,0.021908902300206663,10.847999999999999,0.5930598620712756
random,52,2650,14.400100344275092,0.30241177884853526,0.976,0.04335896677735759,10.66,0.6661831579978589
random,53,2700,14.400100344275092,0.30241177884853526,0.976,0.032863353450309996,10.22,0.7341661937191057
random,54,2750,14.400100344275092,0.30241177884853526,0.968,0.017888543819998333,9.74,0.8330666239863413
